Project Name,Project Description,Project Type,Project Manager,Region,Department, Project Cost , Project Benefit ,Complexity,Status,Completion%,Phase,Year,Month,Start Date,End Date
Excel And Elevate Training,"We’Re A Content Marketing Software That Is Part Machine Learning, Part Data Analytics, And Part Human Strategic Insight. We Help You Keep Track Of The Competition, And Generate Content That Changes The Way They Th About Your Topic. Our Ai Engine Is Designed To Understand The Preferences Of The People Most Likely To Buy, And To Help You Place Better Outreach.",PROCESS IMPROVEMENT,Aleena Khan,West,Supply Chain,"44,34,679.00","90,97,786.00",High,On - Hold,86%,Phase 5 - Measure,2024,12,12-01-2024,03-01-2025
Box Of Crayons,"Satellites Are Now Outdated. Desperate For An Edge, The Diy Founders Are Turning To Ai To Optimize Their Content Marketing. With Ai Capacity To Learn And Analyze Competitors, Now Is The Time To Enter The Game. Join Now To Win With The Ai.",PROCESS IMPROVEMENT,Brenda Chandler,West,eCommerce,"42,86,305.00","86,85,423.00",High,On - Hold,81%,Phase 4 - Implement,2025,1,01-01-2025,05-01-2025
An Evening Affair,"Helps You Generate The Content You Need To Succeed With Enterprise-Level Quality. Our Proprietary Ai Algorithm Delivers Customers To Your Website With Industry-Leading Efficiency. No Copy Pasting Seo Articles, No Seo Articles That Get Copied Pasted, No Guessing What To Write Or Where To Promote—15Five Captures Your Audience.",PROCESS IMPROVEMENT,Nyasia Hunter,North,Sales and Marketing,"36,85,580.00","88,90,269.00",Low,On - Hold,92%,Phase 4 - Implement,2025,5,05-01-2025,08-01-2025
Software Chasers,Reach New Audiences And Connect With Their Most Influential Audience In Minutes With This Breakthrough Automation Technology.,PROCESS IMPROVEMENT,Deacon Delacruz,East,Supply Chain,"39,32,724.00","90,06,043.00",High,In - Progress,81%,Phase 5 - Measure,2025,7,07-01-2025,10-01-2025
Made By Me,"With 15 Five, We Take The Guesswork Out Of Content Marketing. We Analyze Trends That Are Relevant To Your Business, Like Like-Minded Competitors, And Build Out The Content That Will Capture Their Deepest Needs And Wants. Upload Your Logo, Change Colors On The Fly, And Optimize Everything With State Of The Art Ai Content Generation.",PROCESS IMPROVEMENT,Yael Wilcox,West,Supply Chain,"42,83,481.00","88,95,152.00",Low,Completed,100%,Phase 3 - Plan,2025,11,11-01-2025,03-01-2026
Skyhawks,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,East,eCommerce,"57,85,601.00","86,30,148.00",High,Completed,100%,Phase 1 - Explore,2021,3,03-01-2021,06-01-2021
Mo-Money Masterclass,Associations Now Helps It Departments And Association Leaders Stay Ahead Of The Cyber-Threat Tidal Wave With Customized Security Solutions And Cybersecurity Strategies. Our Customers Include Is The Boards Of Governors Of The Most Famous And Influential Associations In The World.​​,WORKING CAPITAL IMPROVEMENT,Yael Wilcox,West,Warehouse,"31,90,009.00","86,74,613.00",High,Completed,100%,Phase 1 - Explore,2021,4,04-01-2021,07-01-2021
Yosemite,You Are Leading Upstart On A Journey To Build Your Company. That Where The Journey Ends. Let Get You Over The Hump. We Are Just Two Industry Veterans Busy Building Our Own Company. We Know What It Like.,WORKING CAPITAL IMPROVEMENT,Kamari Norris,South,Supply Chain,"34,75,275.00","89,94,585.00",Low,On - Hold,90%,Phase 4 - Implement,2021,5,05-01-2021,08-01-2021
A Salute To New Workers,"Every Year, Entrepreneurs And Startups Write Thousands Of Blog Posts And Press Releases. Those Who Succeed See Their Search Traffic And Revenue Skyrocket, While Those Who Fail Either Give Up Or Waste Tons Of Time And Money. Enables You To Run Ahead Of The Competition By Optimizing Content, And Generating Content For You At Scale.",WORKING CAPITAL IMPROVEMENT,Aleena Khan,West,eCommerce,"25,34,102.00","90,72,551.00",Medium,In - Progress,93%,Phase 3 - Plan,2021,5,05-01-2021,08-01-2021
The Guy With Codes,"Is A Platform That Helps You Generate Scalable Content That Converts. ’S Ai Engine Allows You To Create Content That Will Outperform Competitors, Build Brand Awareness, And Maximize Conversions.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,Warehouse,"34,72,986.00","91,25,362.00",Medium,Completed,100%,Phase 4 - Implement,2021,7,07-01-2021,10-01-2021
Limitless Horizons,Outside Offers A Solution For Founders Who Want To Win At Content Marketing—We Help You Create Optimized Content Faster And More Effectively With State Of The Art Ai Generation.,WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,Admin & BI,"44,13,449.00","85,47,257.00",High,Completed,100%,Phase 4 - Implement,2021,8,08-01-2021,11-01-2021
The Successful Project,"Our Content Automation Is 100% Customizable--Creating High Quality Content, With Optimized Structure, That Is Shared Across All Social Media Channels. We Automatically Generate Content For You By Scanning The Sites Of Your Competition--Allowing You To Never Be Caught Off Guard Again. Additionally, Offers A Service That Will Help You Generate The Content For Your Site--So You Can Spend More Time Growing Your Brand, And Less Time On Content Creation.",WORKING CAPITAL IMPROVEMENT,Deacon Delacruz,East,Supply Chain,"59,74,815.00","89,73,631.00",Low,Cancelled,86%,Phase 5 - Measure,2022,1,01-01-2022,05-01-2022
The Principal Of Change,"Is The Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Kamari Norris,North,Sales and Marketing,"37,30,999.00","87,15,081.00",Medium,In - Progress,77%,Phase 1 - Explore,2022,4,04-01-2022,07-01-2022
Associations Now,"Is A Start-Up That Is Changing The Way We Th About Content Marketing. From Your Ideation Phase To Content Creation To Post-Launch Optimization, We Help You Compete In A Competitive Market By Optimizing The Content In Realtime And Inefficiencies And Inefficiencies And Inefficiencies And Inefficiency Inefficiency Inefficiency Inefficiencies.",WORKING CAPITAL IMPROVEMENT,Nyasia Hunter,East,Sales and Marketing,"24,50,782.00","84,70,209.00",Medium,On - Hold,91%,Phase 5 - Measure,2022,6,06-01-2022,09-01-2022
Search Engine Master,"Associations Now Is A Fully-Nightly, Optimized Content Marketing Platform That Won'T Just Create The Perfect Page For Your Associations, It'Ll Beat Anything Else Out There.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,West,eCommerce,"37,87,473.00","87,26,782.00",Medium,Cancelled,77%,Phase 1 - Explore,2022,9,09-01-2022,12-01-2022
Evening Shindig,"Is A Completely Different Way Of Creating Content\N\Nai Generates As-Human-Ly As Possible. In Seconds, Your Topics Become Insanely Crisp, Resonating With Your Target Audience. Allowing You To Spend Hours More Writing And Refining That Perfect Copy, Rather Than Squinting At A Spreadsheet And Grasping At Straws. Our App Empowers You To Share And Sell Your Content And Goes Behind The Scenes To Help You Understand Your Products And Services, And More Importantly Your Products And Services",WORKING CAPITAL IMPROVEMENT,Kamari Norris,East,Supply Chain,"34,72,531.00","90,84,736.00",Low,Cancelled,83%,Phase 3 - Plan,2022,11,11-01-2022,03-01-2023
The Morning Ceremony,Lead With Content Optimization Plans In Place In Advance Of Your Next Pr Push. Helps Your Media Team Create Content In Advance Of Your Next Pr Push. The Ai Helps You Optimize For Future Content In Order To Win In The Game Of Content Marketing.,WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,Supply Chain,"48,02,423.00","87,80,231.00",High,In - Progress,77%,Phase 5 - Measure,2022,11,11-01-2022,03-01-2023
The Code Honors,"Is The World First Content Marketing Platform Built For Founders And Other Small-To-Medium-Business Organizations. Using Proprietary Ai, We Use Ai Technology To Power Content Marketing For Our Entrepreneurs And Smbs. Get Your Roi With Smart Content Marketing And Your Business Will Never Be The Same",WORKING CAPITAL IMPROVEMENT,Brenda Chandler,East,Warehouse,"58,96,885.00","85,39,690.00",Medium,Cancelled,88%,Phase 3 - Plan,2022,12,12-01-2022,03-01-2023
Yellow Moose,Get Connected To The Right People & Knowledge,WORKING CAPITAL IMPROVEMENT,Brenda Chandler,North,Warehouse,"55,43,765.00","87,69,988.00",Medium,On - Hold,77%,Phase 2 - Develop,2023,2,02-01-2023,06-01-2023
Coding League,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. -Ai Analysis Of The Whole Competitive Landscape To Cookie-Cut Your Kpis For Content Marketing -Ai-Generated Optimized Content To Help You Build Rankings Faster -Industry-Specific Knowledgebase That’S Constantly Updated With Over 1,000+ White Papers -Ai-Generated Content To",WORKING CAPITAL IMPROVEMENT,Aleena Khan,West,Admin & BI,"59,49,337.00","90,12,834.00",Medium,Cancelled,87%,Phase 4 - Implement,2023,8,08-01-2023,11-01-2023
Next Gala,"Founded By Former Founders Factory Co-Founders, Is A Solution For Founders Who Want To Win At Content Marketing. We Have Used Our Proprietary Ai To Analyze The Competition For Your Topic, And Optimize Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Aleena Khan,North,Warehouse,"32,61,249.00","86,96,481.00",High,Completed,100%,Phase 2 - Develop,2023,11,11-01-2023,02-01-2024
Red Butter,"We'Re A Small Group Of Entrepreneurs Of Mixed Backgrounds That Had A Goal: To Change The Way The World Looked At The Pr And Content Marketing Industry. Our Passion For Winning Convinced Us That A New Platform Was Needed To Bridge The Gap Between Understanding How To Create Content On A Topic And Actually Creating The Content On The Topic. Learn How To Use Our State Of The Art Ai To Reduce Your Wait Time From Months To Hours, For A Better Return On Your Content Campaign.",WORKING CAPITAL IMPROVEMENT,Deacon Delacruz,East,eCommerce,"46,03,061.00","86,54,153.00",Medium,Completed,100%,Phase 3 - Plan,2024,2,02-01-2024,05-01-2024
Fast Ball,"Uses Continuous Continuous Learning Algorithms To Constantly Improve The Recommendations; We Constantly See Product Changes And Improvements. The More You Use Our Platform, The More We Learn Which Leads To Our Clients Benefiting More And More.",WORKING CAPITAL IMPROVEMENT,Yael Wilcox,North,Supply Chain,"44,26,475.00","85,15,880.00",High,Cancelled,83%,Phase 3 - Plan,2024,7,07-01-2024,10-01-2024
The Network,"Works With A Variety Of Industries From Startups To Established Businesses. It Is Perfect For High-Volume Emailers, Bloggers, Tradeshows, And Content Marketers Who Would Like To Optimize Their Content With Competitive Analysis And Ai Generation.",WORKING CAPITAL IMPROVEMENT,Nyasia Hunter,North,Supply Chain,"54,18,933.00","88,46,243.00",Medium,On - Hold,91%,Phase 4 - Implement,2024,8,08-01-2024,11-01-2024
Indie Profilers,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Aleena Khan,South,Supply Chain,"54,61,756.00","88,04,458.00",Low,Cancelled,84%,Phase 2 - Develop,2024,10,10-01-2024,01-01-2025
Leadership Insights,"Most Small And Medium-Sized Business Owners Find Themselves With Limited Resources, Working Day-To-Day, Yet Still Struggling To Keep Up With The Flow Of Content On Competitive Topics. With No Help From Remote Agency Staffing, This Is Where Comes In. Founded By Entrepreneurs With Years Of Experience Leveraging Content To Grow Their Businesses, Is A Business Development Company For Organizations That Want To Win At Content Marketing. With Our Proprietary Ai Technology, Is The Go-To Tool For Content",WORKING CAPITAL IMPROVEMENT,Kamari Norris,North,Sales and Marketing,"35,26,630.00","91,46,561.00",Medium,Completed,100%,Phase 3 - Plan,2024,11,11-01-2024,03-01-2025
The Social Experiment,"Ai Helps You Create Effective Content That Draws Traffic, Converts Your Visitors Into Leads, And Helps You Win At Content Marketing.",WORKING CAPITAL IMPROVEMENT,Deacon Delacruz,West,Supply Chain,"29,06,572.00","85,99,058.00",High,Completed,100%,Phase 5 - Measure,2025,1,01-01-2025,05-01-2025
Super Happy Fun Time!,"Content Automation Tool Is Powered By Ai Technology That Analyzes Your Competitors, Identify Your Topic, And Creates Content Optimized For Your Audience.",WORKING CAPITAL IMPROVEMENT,Yael Wilcox,East,Sales and Marketing,"58,80,610.00","86,26,940.00",High,Completed,100%,Phase 5 - Measure,2025,7,07-01-2025,10-01-2025
Strive Training,"Was Built To Help Founders Create Optimized Content Faster With State Of The Art Ai Generation Through A Proprietary Ai Platform. Through A Quick Analysis Of Your Content, 20,000 Quantifiable Metrics Are Computed With A Machine Learning Algorithm To Give You A Detailed Analysis Of The Competition And Help With Content Generation.",WORKING CAPITAL IMPROVEMENT,Nyasia Hunter,South,Supply Chain,"52,59,436.00","88,17,917.00",Medium,On - Hold,80%,Phase 2 - Develop,2025,8,08-01-2025,11-01-2025
7Th Annual Workshop,Welcome To The Future Of Content Creation. The Promise Of The Future Is That Anyone Can Create Any Content They Want By Routing Their Personal Skills And Experience To An Area Of Expertise. What Do You Th The Most Important Skill In The Future Is? How About The One Most In Demand? Quite Possibly Both Are “Content Marketing. ”,WORKING CAPITAL IMPROVEMENT,Nyasia Hunter,West,Sales and Marketing,"50,54,482.00","84,22,578.00",High,In - Progress,83%,Phase 3 - Plan,2025,12,12-01-2025,03-01-2026
